Meter,WELL Name,Gas Rate Sm3/d,Oil Flow Sm3/d,Water Flow Rate m3/d,GOR,GWR,WLR,Sep. Gas Temp deg C,Sep. Static Pressure psig,DP[Bar],Temperature[C],Velocity[m/s],Quality,GVF[%],GasDen[kg/m3],GasVisc[cP],LiqDen[kg/m3],LiqVisc[cP]
Post-Processed,LCA-3001,59371.206777272724,16.108405480909088,6.506286307181818,3692.9903482366544,9287.88680572521,0.2873901173149936,46.58480101181818,1327.8586895454546,0.07465430436363638,46.58480101181818,9.562651878181816,0.78661806,,,,,
RAW_FSF,LCA-3001,43701.03153846154,20.29692307692308,6.186153846153845,2165.7733480385996,7174.780257997494,0.23332351634642465,44.72153846153847,1325.629230769231,,,,,,,,,
Post-Processed,LCA-3005,108763.30035833335,37.808481101666665,23.69085352333333,2889.748886505908,4622.66486806172,0.38498815316728185,55.09080631250001,1310.11556975,0.021034784833333334,55.09080631250001,5.3716773734166665,0.5852438135833333,93.39943792499999,80.96188263416667,1.455e-05,710.4403775166667,0.0004893844166666667
RAW_FSF,LCA-3005,95753.04024999999,46.079,19.58775,2171.217925187469,5165.021391448549,0.2976998769755865,55.952749999999995,1308.9209999999998,,,,,,,,,
Post-Processed,LCA-3006,154103.18826666666,33.18567599166666,20.192865290833335,4851.106284252458,8004.548624427424,0.3778741174407081,61.30980867916667,1325.0379878333333,0.0377709665,61.30980867916667,7.600190724749999,0.7816828814166668,95.99278613083334,79.43281057666667,1.4700000000000003e-05,705.9624255833334,0.0004392615
RAW_FSF,LCA-3006,135774.2176,56.558,19.491200000000003,2460.0620627235685,7071.0370751500295,0.25708735577985264,60.861999999999995,1323.1756,,,,,,,,,
Post-Processed,LCA-3007,186865.1217166667,32.23038584416667,21.752777668333334,5917.579623680911,8799.559519052038,0.4025341069904571,61.25096016083334,1325.4720180833333,0.05437196383333332,61.25096016083334,9.168972747,0.8146017250833335,96.68024416249999,79.4852960175,1.4700000000000003e-05,714.7252899416667,0.00043967558333333335
RAW_FSF,LCA-3007,159159.7358333333,45.78958333333333,24.486666666666665,3523.89316930508,6601.75762381177,0.34825107045419146,60.82833333333334,1324.4975,,,,,,,,,
Post-Processed,LCA-3008,114067.09262499999,47.54900373249999,26.1216886775,2416.587418919377,4398.121580193669,0.35459187269791775,56.98074187750001,1323.64298475,0.024067428416666665,56.98074187749999,5.652350163583333,0.629000822,92.35432897416666,81.10912731083333,1.46e-05,698.3375279583333,0.00047341224999999996
RAW_FSF,LCA-3008,95683.09038461537,62.13576923076922,23.473076923076924,1559.337055623047,4151.515275968881,0.27370316389889704,57.479615384615386,1321.585769230769,,,,,,,,,
Post-Processed,LCA-3009,107692.28963333333,38.98278178666667,21.47593809583334,2847.8720979203754,5184.632694109235,0.3549055636521006,59.57379542583334,1314.5910845833334,0.020872834166666663,59.57379542583334,5.406857387416665,0.5835304761666666,93.4973170725,79.41763962833333,1.46e-05,698.9994177916666,0.0004524791666666666
RAW_FSF,LCA-3009,93297.68666666666,47.602916666666665,18.85083333333333,2012.7824760582,5090.080199025957,0.2843016408254901,59.774166666666666,1313.6320833333336,,,,,,,,,
Post-Processed,LCA-3010,140763.82069999998,48.72445682083333,24.75254326833333,2902.0660536503706,5711.114476312952,0.33690186153629575,61.18773154833334,1312.4450516666666,0.035062779999999995,61.18773154833334,7.106762037666666,0.7885648674166666,93.96498788083333,78.63207272916668,1.4616666666666667e-05,692.7931380083334,0.00044014433333333327
RAW_FSF,LCA-3010,121913.74043478262,63.512173913043476,22.509565217391305,1936.1231322141991,5464.3405367324885,0.2616690651878821,60.65347826086956,1312.1708695652173,,,,,,,,,
Post-Processed,LCA-3011,150108.46614166666,14.617345977500001,8.352301238999999,10273.395165076605,17976.174736526842,0.3636505430674167,57.74324602499999,1312.6383283333332,0.030987620000000004,57.74324602499999,7.210119165249999,0.7589913640833333,98.20174808333333,80.028829985,1.46e-05,702.4485630416666,0.00046708774999999997
RAW_FSF,LCA-3011,132976.85439999998,29.576,11.675600000000001,4498.38277950558,11396.939562172836,0.2832223138421727,57.70799999999999,1306.418,,,,,,,,,
Post-Processed,LCA-3012,157152.83424999999,14.67497953583333,9.070873573416666,10714.525194017893,17339.754185413363,0.38196285568108657,60.2239146,1313.3966434166668,0.0344274335,60.2239146,7.639340979666666,0.7746260612500001,98.25738465,79.0766489475,1.46e-05,708.5696952416666,0.000447451
RAW_FSF,LCA-3012,140174.2286956522,29.713478260869564,12.713043478260868,4718.798439902132,11035.082196929316,0.29962614480076033,59.58130434782609,1314.3495652173913,,,,,,,,,
Post-Processed,LCA-3013,187017.45975,14.691508217500001,8.636279379749999,12732.543002528966,21674.310674202123,0.3701694665642543,58.78108989416666,1316.7444495,0.04762768241666667,58.78108989416666,8.976522171416667,0.79703916225,98.538465445,79.88558880249998,1.4616666666666667e-05,704.2869664666667,0.0004586960833333333
RAW_FSF,LCA-3013,167103.758,30.5024,12.2436,5478.987822746049,13645.956780335973,0.286445500691362,58.6784,1315.8024000000003,,,,,,,,,
Post-Processed,LCA-3083,123974.65869166667,41.38739587333334,99.78930498499999,3018.5187188339028,1250.3575760167416,0.7061922152571708,61.423972085833334,1372.1248344999997,0.039282981749999994,61.423972085833334,6.522549461083334,0.7673314485833332,88.48663466749998,82.561783595,1.4825000000000003e-05,833.6428975916668,0.00043837475000000004
RAW_FSF,LCA-3083,106672.49519999999,38.9888,76.74919999999999,2768.9935702224047,1397.7406915371453,0.6610924095952617,61.341600000000014,1370.69,,,,,,,,,
Post-Processed,LCA-3084,227925.90457500002,29.992980211666666,170.85143298333335,7603.862362334371,1334.9356590124582,0.8505845126351418,67.61886896583333,1369.5967244166668,0.13093409658333335,67.61886896583333,12.1831926375,0.82296533225,91.81590520499999,79.90660588749999,1.4900000000000001e-05,900.6749521333335,0.0003956075
RAW_FSF,LCA-3084,182809.82782608696,38.54260869565218,130.90608695652176,4793.1719075296105,1412.5266439549905,0.7659969187929309,67.29217391304347,1369.3860869565217,,,,,,,,,
Post-Processed,LCA-3085,124485.64049230769,38.67036892692308,87.60132604384616,3226.3229647010603,1674.0943734957395,0.6789620867667181,62.156713708461545,1354.3551536153848,0.03776197961538462,62.156713708461545,6.564215350000001,0.7707602169230768,89.85247413692309,81.06396514153847,1.4776923076923082e-05,823.5149539923077,0.00043331115384615383
RAW_FSF,LCA-3085,105545.9772413793,41.59310344827586,69.85689655172412,2549.226161169799,1514.4832917564033,0.6268908955675386,62.819655172413775,1357.0737931034482,,,,,,,,,
Reference,LCA-3011,100000.0,,,8130.0,14385.0,,,,,,,,,,,,
Reference,LCA-3001,100000.0,,,2955.0,9286.0,,,,,,,,,,,,
Reference,LCA-3005,100000.0,,,8972.0,12215.0,,,,,,,,,,,,
Reference,LCA-3006,100000.0,,,4911.0,14923.0,,,,,,,,,,,,
Reference,LCA-3007,100000.0,,,6352.0,8586.0,,,,,,,,,,,,
Reference,LCA-3008,100000.0,,,3111.0,12727.0,,,,,,,,,,,,
Reference,LCA-3009,100000.0,,,4125.0,13895.0,,,,,,,,,,,,
Reference,LCA-3010,100000.0,,,3864.0,1889.0,,,,,,,,,,,,
Reference,LCA-3012,100000.0,,,7222.0,11471.0,,,,,,,,,,,,
Reference,LCA-3013,100000.0,,,9080.0,12611.0,,,,,,,,,,,,
Reference,LCA-3083,100000.0,,,1929.0,4970.0,,,,,,,,,,,,
Reference,LCA-3084,100000.0,,,2290.0,4688.0,,,,,,,,,,,,
Reference,LCA-3085,100000.0,,,2011.0,5469.0,,,,,,,,,,,,
