WELL Name,Gas Rate Act m3/d,Liq Rate Act m3/d,GVF,Gas Rate Sm3/d, Raw Oil Flow  m3/d,Oil Flow Sm3/d,Water Flow Rate m3/d,WLR,Sep. Gas Temp deg C,Sep. Static Pressure psig
LCA-3005,1113.5,78.38,92.79,108763.3,54.69,37.81,23.69,0.38,55.09,1310.12
LCA-3006,1642.03,68.22,95.48,154103.19,48.03,33.19,20.19,0.38,61.31,1325.04
LCA-3007,2002.59,68.41,96.23,186865.12,46.65,32.23,21.75,0.4,61.25,1325.47
LCA-3008,1152.84,95.1,91.72,114067.09,68.98,47.55,26.12,0.35,56.98,1323.64
LCA-3009,1122.48,77.79,92.85,107692.29,56.31,38.98,21.48,0.35,59.57,1314.59
LCA-3010,1486.19,95.04,93.32,140763.82,70.28,48.72,24.75,0.34,61.19,1312.45
LCA-3011,1615.59,29.47,97.94,150108.47,21.12,14.62,8.35,0.36,57.74,1312.64
LCA-3012,1713.02,30.25,97.99,157152.83,21.17,14.67,9.07,0.38,60.22,1313.4
LCA-3013,2022.21,29.87,98.32,187017.46,21.23,14.69,8.64,0.37,58.78,1316.74
LCA-3083,1245.78,160.51,87.46,123974.66,60.72,41.39,99.79,0.71,61.42,1372.12
LCA-3084,2444.16,214.64,90.72,227925.9,43.78,29.99,170.85,0.85,67.62,1369.6
LCA-3085,1279.69,144.02,88.85,124485.64,56.42,38.67,87.6,0.68,62.16,1354.36
